5       10.091  2.415
6       10.567  2.952
7       9.844   2.274
8       10.285  3.186
9       10.331  2.893
10      9.558   2.499
11      10.85   2.789
12      10.235  2.619
13      10.373  2.895
14      9.884   2.848
15      9.222   2.482
16      9.508   2.42
17      10.79   3.469
18      10.114  2.435
19      10.577  3.025
20      9.528   2.521
21      10.253  2.787
22      10.353  2.531
23      10.884  3.147
24      11.172  3.012
25      9.855   2.63
26      10.672  3.031
27      9.562   2.581
28      10.359  2.604
29      11.51   2.951
30      10.295  2.742
31      10.684  3.147
32      10.592  2.991
33      10.221  3.04
34      10.278  2.785
35      10.541  2.76
36      10.913  3.571
37      10.386  2.787
38      10.936  2.91
39      10.299  2.838
40      10.952  3.367
